0. (0.000082, 0.999918, 0.069585, 0.004578, 0.925837, 0.078661, 0.004778, 0.916561, 0.085144, 0.914856, 0.906462, 0.038300, 0.055238, 0.126277, 0.059809, 0.813576, 0.000338, 0.695922, 0.304078)  (0.000101, 0.999899, 0.171837, 0.008836, 0.819327, 0.161338, 0.009323, 0.829338, 0.096446, 0.903554, 0.840376, 0.078450, 0.081174, 0.184480, 0.105604, 0.709495, 0.000420, 0.710966, 0.289034)  (0.000141, 0.999859, 0.353066, 0.016648, 0.630286, 0.315858, 0.018136, 0.666006, 0.097834, 0.902166, 0.718739, 0.150976, 0.130285, 0.272970, 0.186370, 0.539896, 0.000764, 0.726996, 0.273004)  (0.000180, 0.999820, 0.584752, 0.024884, 0.390364, 0.517164, 0.028602, 0.454234, 0.080676, 0.919324, 0.567310, 0.245188, 0.187502, 0.361364, 0.290080, 0.347403, 0.001152, 0.789351, 0.210649)  (0.000205, 0.999795, 0.790044, 0.026713, 0.183243, 0.702735, 0.033952, 0.263313, 0.061513, 0.938487, 0.423872, 0.337690, 0.238439, 0.394920, 0.382068, 0.221422, 0.001590, 0.882085, 0.117915)  (0.000217, 0.999783, 0.909790, 0.021835, 0.068375, 0.827912, 0.033136, 0.138953, 0.075450, 0.924550, 0.311328, 0.384546, 0.304126, 0.343183, 0.454973, 0.200229, 0.001615, 0.950438, 0.049562)  (0.000273, 0.999727, 0.952044, 0.019695, 0.028261, 0.884482, 0.036445, 0.079073, 0.169764, 0.830236, 0.254145, 0.258929, 0.486926, 0.267381, 0.620695, 0.110266, 0.001658, 0.977856, 0.022144)  (0.000402, 0.999598, 0.966293, 0.020722, 0.012985, 0.924728, 0.038831, 0.036442, 0.327702, 0.672298, 0.175714, 0.128599, 0.695687, 0.148222, 0.777589, 0.072360, 0.001828, 0.989100, 0.010900)  (0.000945, 0.999055, 0.957866, 0.033461, 0.008673, 0.934115, 0.049455, 0.016430, 0.412930, 0.587070, 0.128289, 0.044832, 0.826879, 0.066997, 0.854433, 0.075612, 0.002958, 0.992231, 0.007769)  (0.004008, 0.995992, 0.905912, 0.084803, 0.009285, 0.888196, 0.098477, 0.013327, 0.351035, 0.648965, 0.129664, 0.015569, 0.854766, 0.036052, 0.847645, 0.108319, 0.007985, 0.991284, 0.008716)  (0.021404, 0.978596, 0.769357, 0.218501, 0.012142, 0.740879, 0.228780, 0.030341, 0.221290, 0.778710, 0.168028, 0.012134, 0.819837, 0.030546, 0.783492, 0.159569, 0.026393, 0.988045, 0.011955)  (0.100729, 0.899271, 0.580679, 0.403925, 0.015396, 0.499770, 0.399228, 0.101002, 0.180837, 0.819163, 0.275251, 0.019486, 0.705263, 0.032224, 0.699671, 0.191543, 0.076562, 0.982868, 0.017132)  (0.409721, 0.590279, 0.412100, 0.574018, 0.013881, 0.381573, 0.383686, 0.234741, 0.381622, 0.618378, 0.564844, 0.024861, 0.410295, 0.024932, 0.627979, 0.160587, 0.186502, 0.978112, 0.021888)  (0.842159, 0.157841, 0.216364, 0.778529, 0.005107, 0.657768, 0.129283, 0.212948, 0.749043, 0.250957, 0.677039, 0.012952, 0.310009, 0.007083, 0.620278, 0.060133, 0.312506, 0.984452, 0.015548)  (0.854838, 0.145162, 0.587659, 0.405652, 0.006689, 0.195559, 0.143476, 0.660965, 0.442520, 0.557480, 0.886891, 0.023783, 0.089325, 0.006435, 0.642472, 0.087433, 0.263660, 0.951518, 0.048482)  (0.931992, 0.068008, 0.827539, 0.167721, 0.004740, 0.015490, 0.086181, 0.898329, 0.310173, 0.689827, 0.895942, 0.022692, 0.081365, 0.002948, 0.697978, 0.073590, 0.225483, 0.908502, 0.091498)  (0.965961, 0.034039, 0.923611, 0.072608, 0.003780, 0.003045, 0.069131, 0.927824, 0.345816, 0.654184, 0.815042, 0.023307, 0.161651, 0.001421, 0.658185, 0.075252, 0.265142, 0.803059, 0.196941)  (0.982466, 0.017534, 0.970968, 0.025835, 0.003197, 0.001263, 0.080816, 0.917921, 0.349657, 0.650343, 0.623413, 0.024528, 0.352060, 0.000682, 0.462205, 0.087973, 0.449140, 0.601513, 0.398487)  (0.991915, 0.008085, 0.988607, 0.008913, 0.002480, 0.000573, 0.101574, 0.897853, 0.274661, 0.725339, 0.427910, 0.022214, 0.549875, 0.000304, 0.246157, 0.093777, 0.659761, 0.408096, 0.591904)  (0.995225, 0.004775, 0.992835, 0.004680, 0.002485, 0.000347, 0.115796, 0.883857, 0.198342, 0.801658, 0.349302, 0.022442, 0.628255, 0.000214, 0.130883, 0.103121, 0.765782, 0.301724, 0.698276)  

1. (0.000108, 0.999892, 0.077148, 0.005595, 0.917257, 0.062682, 0.005897, 0.931422, 0.180724, 0.819276, 0.860063, 0.064664, 0.075273, 0.233763, 0.048972, 0.716525, 0.000741, 0.768598, 0.231402)  (0.000097, 0.999903, 0.148450, 0.007706, 0.843844, 0.101040, 0.008530, 0.890430, 0.163306, 0.836694, 0.814889, 0.109196, 0.075915, 0.258183, 0.274592, 0.462144, 0.005081, 0.837186, 0.162814)  (0.000158, 0.999842, 0.373563, 0.016288, 0.610149, 0.249329, 0.019451, 0.731219, 0.186037, 0.813963, 0.587862, 0.290334, 0.121804, 0.428039, 0.130281, 0.401389, 0.040291, 0.821184, 0.178816)  (0.000198, 0.999802, 0.634970, 0.022659, 0.342371, 0.445854, 0.030270, 0.523876, 0.136835, 0.863165, 0.420916, 0.431227, 0.147857, 0.558284, 0.189169, 0.245801, 0.006746, 0.867071, 0.132929)  (0.000195, 0.999805, 0.844063, 0.020655, 0.135283, 0.666013, 0.033114, 0.300873, 0.081138, 0.918862, 0.257434, 0.592969, 0.149597, 0.578468, 0.212391, 0.208052, 0.001090, 0.934688, 0.065312)  (0.000165, 0.999835, 0.944782, 0.013896, 0.041322, 0.833165, 0.029213, 0.137623, 0.067142, 0.932858, 0.151282, 0.697804, 0.150914, 0.428583, 0.207627, 0.362909, 0.000881, 0.976751, 0.023249)  (0.000282, 0.999718, 0.958094, 0.017918, 0.023988, 0.846007, 0.048675, 0.105317, 0.183695, 0.816305, 0.177865, 0.480625, 0.341510, 0.433118, 0.416683, 0.148895, 0.001303, 0.984861, 0.015139)  (0.000366, 0.999634, 0.972460, 0.017613, 0.009927, 0.909622, 0.048151, 0.042227, 0.525853, 0.474147, 0.124187, 0.403430, 0.472383, 0.206475, 0.742279, 0.049878, 0.001367, 0.992974, 0.007026)  (0.001045, 0.998955, 0.955080, 0.036761, 0.008159, 0.904459, 0.072781, 0.022761, 0.513358, 0.486642, 0.130659, 0.086855, 0.782485, 0.121281, 0.806903, 0.068647, 0.003169, 0.993528, 0.006472)  (0.004312, 0.995688, 0.895706, 0.095676, 0.008618, 0.856801, 0.128405, 0.014794, 0.441729, 0.558271, 0.145465, 0.026746, 0.827789, 0.065064, 0.817722, 0.105996, 0.011218, 0.992637, 0.007363)  (0.022751, 0.977249, 0.736085, 0.252524, 0.011391, 0.696111, 0.275788, 0.028100, 0.271775, 0.728225, 0.207161, 0.017820, 0.775019, 0.046748, 0.740277, 0.165763, 0.047211, 0.989873, 0.010127)  (0.100014, 0.899986, 0.516221, 0.469146, 0.014633, 0.440240, 0.464466, 0.095294, 0.185103, 0.814897, 0.347989, 0.024931, 0.627079, 0.033691, 0.620715, 0.203804, 0.141790, 0.985866, 0.014134)  (0.330630, 0.669370, 0.372998, 0.611651, 0.015351, 0.253639, 0.489023, 0.257338, 0.264418, 0.735582, 0.588898, 0.032831, 0.378271, 0.020171, 0.516350, 0.189358, 0.274121, 0.980172, 0.019828)  (0.657228, 0.342772, 0.344145, 0.644391, 0.011464, 0.235756, 0.305745, 0.458499, 0.396944, 0.603056, 0.808148, 0.031983, 0.159869, 0.008690, 0.474418, 0.131319, 0.385572, 0.973438, 0.026562)  (0.830702, 0.169298, 0.477447, 0.513589, 0.008963, 0.080835, 0.180784, 0.738381, 0.314884, 0.685116, 0.885839, 0.033402, 0.080759, 0.003925, 0.461020, 0.104222, 0.430832, 0.954714, 0.045286)  (0.920783, 0.079217, 0.671408, 0.321245, 0.007347, 0.012417, 0.116163, 0.871419, 0.303646, 0.696354, 0.883112, 0.035136, 0.081752, 0.001880, 0.531147, 0.094774, 0.372199, 0.912319, 0.087681)  (0.958405, 0.041595, 0.853359, 0.139670, 0.006971, 0.004789, 0.119796, 0.875414, 0.375257, 0.624743, 0.775868, 0.039734, 0.184398, 0.001003, 0.548579, 0.109893, 0.340525, 0.808542, 0.191458)  (0.980607, 0.019393, 0.954256, 0.039718, 0.006026, 0.002348, 0.166314, 0.831338, 0.425162, 0.574838, 0.533848, 0.038098, 0.428054, 0.000457, 0.366479, 0.125651, 0.507413, 0.668812, 0.331188)  (0.992107, 0.007893, 0.985312, 0.010085, 0.004603, 0.001105, 0.217082, 0.781813, 0.416096, 0.583904, 0.322896, 0.030026, 0.647078, 0.000191, 0.175784, 0.124883, 0.699143, 0.594375, 0.405625)  (0.994975, 0.005025, 0.990030, 0.005112, 0.004858, 0.000767, 0.276480, 0.722753, 0.295225, 0.704775, 0.283348, 0.031803, 0.684849, 0.000153, 0.101972, 0.154458, 0.743417, 0.504185, 0.495815)  

2. (0.000178, 0.999822, 0.072090, 0.007206, 0.920705, 0.044635, 0.007705, 0.947661, 0.368050, 0.631950, 0.781410, 0.091781, 0.126809, 0.442174, 0.036749, 0.519330, 0.001746, 0.778038, 0.221962)  (0.000172, 0.999828, 0.165472, 0.010280, 0.824248, 0.082015, 0.011987, 0.905997, 0.390887, 0.609113, 0.668772, 0.203486, 0.127742, 0.532705, 0.049410, 0.377100, 0.040785, 0.834950, 0.165050)  (0.000161, 0.999839, 0.270176, 0.011947, 0.717877, 0.134502, 0.015934, 0.849564, 0.257394, 0.742606, 0.388905, 0.513762, 0.097333, 0.476181, 0.055093, 0.195349, 0.273378, 0.903726, 0.096274)  (0.000247, 0.999753, 0.611682, 0.019672, 0.368646, 0.343665, 0.031295, 0.625040, 0.217187, 0.782813, 0.320447, 0.564357, 0.115196, 0.715058, 0.096233, 0.148128, 0.040581, 0.916616, 0.083384)  (0.000267, 0.999733, 0.838008, 0.019742, 0.142250, 0.570011, 0.039456, 0.390533, 0.120874, 0.879126, 0.189236, 0.705908, 0.104856, 0.778275, 0.114256, 0.106387, 0.001082, 0.954787, 0.045213)  (0.000312, 0.999688, 0.922116, 0.019356, 0.058527, 0.721983, 0.050257, 0.227760, 0.099755, 0.900245, 0.141341, 0.731929, 0.126730, 0.708947, 0.146964, 0.143037, 0.001052, 0.976273, 0.023727)  (0.000447, 0.999553, 0.948671, 0.022827, 0.028502, 0.802100, 0.070820, 0.127080, 0.151287, 0.848713, 0.142271, 0.439451, 0.418277, 0.702620, 0.226050, 0.069958, 0.001372, 0.985875, 0.014125)  (0.001088, 0.998912, 0.930534, 0.046583, 0.022883, 0.775262, 0.134374, 0.090364, 0.379167, 0.620833, 0.217749, 0.301173, 0.481078, 0.402304, 0.511966, 0.078726, 0.007005, 0.986497, 0.013503)  (0.002312, 0.997688, 0.904728, 0.080029, 0.015243, 0.793892, 0.166276, 0.039833, 0.503829, 0.496171, 0.243019, 0.112186, 0.644795, 0.218299, 0.647035, 0.095640, 0.039026, 0.989614, 0.010386)  (0.007340, 0.992660, 0.802577, 0.183007, 0.014416, 0.717382, 0.260023, 0.022595, 0.420438, 0.579562, 0.236403, 0.044891, 0.718706, 0.154249, 0.677307, 0.142317, 0.026127, 0.989699, 0.010301)  (0.027392, 0.972608, 0.597068, 0.386469, 0.016463, 0.534029, 0.436782, 0.029189, 0.256609, 0.743391, 0.309893, 0.032964, 0.657143, 0.123175, 0.583221, 0.198944, 0.094660, 0.988675, 0.011325)  (0.090173, 0.909827, 0.366776, 0.613759, 0.019465, 0.301733, 0.620247, 0.078020, 0.162318, 0.837682, 0.492261, 0.037926, 0.469813, 0.068107, 0.438403, 0.221192, 0.272298, 0.986953, 0.013047)  (0.234468, 0.765532, 0.247560, 0.731211, 0.021229, 0.138430, 0.658101, 0.203469, 0.168782, 0.831218, 0.693001, 0.043777, 0.263222, 0.024945, 0.314255, 0.200782, 0.460017, 0.983300, 0.016700)  (0.502725, 0.497275, 0.259878, 0.719181, 0.020941, 0.066463, 0.483384, 0.450153, 0.216106, 0.783894, 0.816743, 0.049973, 0.133284, 0.009140, 0.266519, 0.170266, 0.554076, 0.974472, 0.025528)  (0.763879, 0.236121, 0.341939, 0.639405, 0.018656, 0.030273, 0.269316, 0.700411, 0.248954, 0.751046, 0.870663, 0.055359, 0.073978, 0.003769, 0.271014, 0.144448, 0.580769, 0.957167, 0.042833)  (0.881430, 0.118570, 0.538083, 0.442074, 0.019843, 0.017626, 0.200767, 0.781606, 0.337055, 0.662945, 0.837350, 0.071931, 0.090719, 0.002047, 0.354584, 0.162915, 0.480454, 0.909128, 0.090872)  (0.936728, 0.063272, 0.786908, 0.191949, 0.021143, 0.011663, 0.255832, 0.732505, 0.461838, 0.538162, 0.698358, 0.085599, 0.216043, 0.001107, 0.378076, 0.201537, 0.419281, 0.819076, 0.180924)  (0.976556, 0.023444, 0.937448, 0.046315, 0.016236, 0.005396, 0.363615, 0.630988, 0.573812, 0.426188, 0.456908, 0.064404, 0.478688, 0.000403, 0.218830, 0.185103, 0.595664, 0.782986, 0.217014)  (0.992045, 0.007955, 0.977757, 0.010249, 0.011994, 0.002217, 0.351241, 0.646541, 0.588714, 0.411286, 0.214944, 0.040539, 0.744517, 0.000146, 0.102738, 0.158415, 0.738701, 0.806911, 0.193089)  (0.995463, 0.004537, 0.983596, 0.004681, 0.011723, 0.001346, 0.370156, 0.628498, 0.315228, 0.684772, 0.151921, 0.036063, 0.812015, 0.000108, 0.052424, 0.386063, 0.561406, 0.803106, 0.196894)  

3. (0.000232, 0.999768, 0.048015, 0.007362, 0.944623, 0.024608, 0.007881, 0.967511, 0.609244, 0.390756, 0.712419, 0.094827, 0.192753, 0.713023, 0.028472, 0.255686, 0.002819, 0.639000, 0.361000)  (0.000218, 0.999782, 0.115371, 0.009732, 0.874898, 0.043565, 0.011758, 0.944676, 0.616618, 0.383382, 0.649522, 0.160703, 0.189775, 0.774811, 0.028322, 0.189085, 0.007782, 0.769059, 0.230941)  (0.000271, 0.999729, 0.278034, 0.014267, 0.707699, 0.106458, 0.021202, 0.872340, 0.509763, 0.490237, 0.495955, 0.340445, 0.163601, 0.782727, 0.037112, 0.138952, 0.041208, 0.880268, 0.119732)  (0.000365, 0.999635, 0.555571, 0.019778, 0.424650, 0.244848, 0.037616, 0.717537, 0.350564, 0.649436, 0.325212, 0.546472, 0.128316, 0.845462, 0.051797, 0.095640, 0.007100, 0.928724, 0.071276)  (0.000467, 0.999533, 0.776159, 0.023633, 0.200208, 0.418475, 0.057446, 0.524079, 0.203440, 0.796560, 0.192487, 0.707908, 0.099605, 0.867070, 0.067723, 0.063990, 0.001217, 0.959039, 0.040961)  (0.000730, 0.999270, 0.864026, 0.033401, 0.102574, 0.538089, 0.098412, 0.363499, 0.175367, 0.824633, 0.174599, 0.711257, 0.114144, 0.832671, 0.105744, 0.060054, 0.001531, 0.971094, 0.028906)  (0.001419, 0.998581, 0.869521, 0.064373, 0.066106, 0.562953, 0.188756, 0.248291, 0.270174, 0.729826, 0.255440, 0.549749, 0.194811, 0.727280, 0.195470, 0.074551, 0.002699, 0.974124, 0.025876)  (0.002727, 0.997273, 0.828212, 0.128614, 0.043174, 0.574262, 0.289797, 0.135942, 0.454260, 0.545740, 0.391179, 0.297129, 0.311692, 0.552031, 0.313224, 0.096880, 0.037865, 0.975613, 0.024387)  (0.004260, 0.995740, 0.806447, 0.170474, 0.023079, 0.670565, 0.281911, 0.047524, 0.637125, 0.362875, 0.572032, 0.100413, 0.327555, 0.324363, 0.303305, 0.098649, 0.273682, 0.982819, 0.017181)  (0.012805, 0.987195, 0.592832, 0.382175, 0.024993, 0.469811, 0.500527, 0.029662, 0.401521, 0.598479, 0.393201, 0.068173, 0.538626, 0.372536, 0.393735, 0.173840, 0.059889, 0.983121, 0.016879)  (0.031269, 0.968731, 0.369947, 0.604315, 0.025737, 0.296563, 0.677729, 0.025707, 0.211124, 0.788876, 0.369560, 0.056020, 0.574420, 0.351401, 0.328173, 0.218675, 0.101751, 0.987467, 0.012533)  (0.075613, 0.924387, 0.218989, 0.749903, 0.031107, 0.174784, 0.775875, 0.049340, 0.134578, 0.865422, 0.533028, 0.059118, 0.407854, 0.185279, 0.250143, 0.261583, 0.302995, 0.987499, 0.012501)  (0.171105, 0.828895, 0.157430, 0.804788, 0.037781, 0.098897, 0.778290, 0.122813, 0.136686, 0.863314, 0.743790, 0.066771, 0.189439, 0.051146, 0.189528, 0.229642, 0.529684, 0.983945, 0.016055)  (0.388980, 0.611020, 0.201910, 0.749552, 0.048538, 0.070077, 0.625345, 0.304578, 0.203082, 0.796918, 0.800585, 0.089774, 0.109642, 0.014488, 0.184325, 0.240762, 0.560425, 0.972392, 0.027608)  (0.664977, 0.335023, 0.321608, 0.620976, 0.057416, 0.055358, 0.415907, 0.528734, 0.297835, 0.702165, 0.795971, 0.121748, 0.082280, 0.006395, 0.210120, 0.260361, 0.523124, 0.948169, 0.051831)  (0.821518, 0.178482, 0.516654, 0.416681, 0.066666, 0.046177, 0.357162, 0.596662, 0.423421, 0.576579, 0.725215, 0.162361, 0.112424, 0.003251, 0.254086, 0.307718, 0.434945, 0.899812, 0.100188)  (0.914226, 0.085774, 0.757790, 0.175888, 0.066322, 0.031008, 0.475667, 0.493326, 0.577917, 0.422083, 0.598971, 0.169280, 0.231749, 0.001380, 0.234255, 0.336578, 0.427786, 0.847864, 0.152136)  (0.975760, 0.024240, 0.919083, 0.037724, 0.043193, 0.011400, 0.692676, 0.295924, 0.720488, 0.279512, 0.525326, 0.095483, 0.379191, 0.000344, 0.149636, 0.236983, 0.613037, 0.879631, 0.120369)  (0.990193, 0.009807, 0.942524, 0.011653, 0.045823, 0.005504, 0.689278, 0.305218, 0.637800, 0.362200, 0.222676, 0.069037, 0.708286, 0.000139, 0.195271, 0.234183, 0.570407, 0.886757, 0.113243)  (0.993193, 0.006807, 0.932844, 0.007038, 0.060118, 0.003898, 0.733424, 0.262678, 0.461804, 0.538196, 0.135868, 0.069880, 0.794251, 0.000121, 0.105089, 0.295928, 0.598862, 0.866592, 0.133408)  

4. (0.000169, 0.999831, 0.020789, 0.004540, 0.974671, 0.010655, 0.004827, 0.984518, 0.778479, 0.221521, 0.733323, 0.064741, 0.201936, 0.692595, 0.230491, 0.074060, 0.002854, 0.327765, 0.672235)  (0.000215, 0.999785, 0.065228, 0.007754, 0.927019, 0.020542, 0.009643, 0.969816, 0.691719, 0.308281, 0.590561, 0.124650, 0.284789, 0.892485, 0.028089, 0.076720, 0.002707, 0.614565, 0.385435)  (0.000332, 0.999668, 0.193038, 0.013153, 0.793809, 0.058222, 0.022011, 0.919767, 0.635944, 0.364056, 0.479213, 0.257011, 0.263776, 0.895166, 0.029205, 0.073062, 0.002566, 0.820371, 0.179629)  (0.000556, 0.999444, 0.421339, 0.021454, 0.557207, 0.141576, 0.049511, 0.808913, 0.505885, 0.494115, 0.336671, 0.461110, 0.202219, 0.898931, 0.034619, 0.064247, 0.002202, 0.910898, 0.089102)  (0.000945, 0.999055, 0.637460, 0.034043, 0.328497, 0.249107, 0.099122, 0.651772, 0.368535, 0.631465, 0.234110, 0.615278, 0.150612, 0.893284, 0.047471, 0.057168, 0.002077, 0.950119, 0.049881)  (0.001722, 0.998278, 0.745885, 0.062723, 0.191392, 0.320660, 0.196780, 0.482560, 0.344916, 0.655084, 0.255635, 0.614906, 0.129459, 0.862234, 0.073563, 0.061710, 0.002493, 0.962044, 0.037956)  (0.003070, 0.996930, 0.738580, 0.150122, 0.111299, 0.331504, 0.362064, 0.306432, 0.468014, 0.531986, 0.413539, 0.451185, 0.135276, 0.812023, 0.110240, 0.074269, 0.003468, 0.958985, 0.041015)  (0.004869, 0.995131, 0.593340, 0.347412, 0.059248, 0.369327, 0.490678, 0.139995, 0.655149, 0.344851, 0.620318, 0.230909, 0.148774, 0.773060, 0.133913, 0.084258, 0.008770, 0.940412, 0.059588)  (0.008262, 0.991738, 0.452613, 0.511351, 0.036036, 0.422280, 0.522196, 0.055523, 0.705302, 0.294698, 0.696536, 0.110993, 0.192471, 0.718692, 0.139577, 0.101455, 0.040275, 0.935421, 0.064579)  (0.018528, 0.981472, 0.329221, 0.636932, 0.033847, 0.273340, 0.697663, 0.028997, 0.450508, 0.549492, 0.531079, 0.085961, 0.382960, 0.668695, 0.155317, 0.153804, 0.022184, 0.958097, 0.041903)  (0.028264, 0.971736, 0.151806, 0.819704, 0.028489, 0.113645, 0.668185, 0.218170, 0.153745, 0.846255, 0.335938, 0.060100, 0.603962, 0.681564, 0.105592, 0.170492, 0.042352, 0.986553, 0.013447)  (0.070875, 0.929125, 0.117197, 0.833844, 0.048959, 0.104579, 0.869256, 0.026165, 0.114096, 0.885904, 0.379551, 0.082713, 0.537737, 0.255916, 0.114788, 0.482291, 0.147005, 0.987135, 0.012865)  (0.201388, 0.798612, 0.140402, 0.759364, 0.100234, 0.135305, 0.781359, 0.083335, 0.166805, 0.833195, 0.653337, 0.146615, 0.200048, 0.090841, 0.147491, 0.385905, 0.375763, 0.974866, 0.025134)  (0.391725, 0.608275, 0.198605, 0.659798, 0.141596, 0.141561, 0.667673, 0.190765, 0.249776, 0.750224, 0.690861, 0.202114, 0.107026, 0.026851, 0.151714, 0.413607, 0.407827, 0.958009, 0.041991)  (0.619936, 0.380064, 0.325900, 0.497238, 0.176862, 0.139400, 0.548814, 0.311786, 0.374646, 0.625354, 0.634834, 0.266360, 0.098805, 0.011605, 0.163805, 0.455833, 0.368757, 0.930451, 0.069549)  (0.787609, 0.212391, 0.490690, 0.310436, 0.198874, 0.117947, 0.532532, 0.349521, 0.513094, 0.486906, 0.537316, 0.317144, 0.145540, 0.005042, 0.168168, 0.492834, 0.333955, 0.893162, 0.106838)  (0.898526, 0.101474, 0.658415, 0.141430, 0.200154, 0.077390, 0.628121, 0.294489, 0.642669, 0.357331, 0.406262, 0.309900, 0.283837, 0.001813, 0.150808, 0.511216, 0.336162, 0.865928, 0.134072)  (0.967667, 0.032333, 0.799444, 0.039746, 0.160810, 0.031626, 0.794031, 0.174342, 0.742430, 0.257570, 0.275479, 0.195466, 0.529055, 0.000439, 0.210561, 0.422536, 0.366464, 0.894456, 0.105544)  (0.990352, 0.009648, 0.849842, 0.010516, 0.139643, 0.010948, 0.890586, 0.098465, 0.764137, 0.235863, 0.113434, 0.102667, 0.783899, 0.000111, 0.363552, 0.343926, 0.292411, 0.932666, 0.067334)  (0.993085, 0.006915, 0.802217, 0.007157, 0.190626, 0.007663, 0.894547, 0.097791, 0.660424, 0.339576, 0.092378, 0.099963, 0.807659, 0.000090, 0.175408, 0.459603, 0.364899, 0.920844, 0.079156)  

